visual_group,image_path,pexels_photo_id,photographer,photographer_url,pexels_url,alt,query_used,score
aceite_oliva,assets/aceite_oliva.jpg,7656594,Cup of  Couple,https://www.pexels.com/@cup-of-couple,https://www.pexels.com/photo/bottle-of-olive-oil-beside-a-white-saucer-7656594/,Stylish glass bottle of olive oil complemented by sea salt in a saucer on a white surface.,olive oil bottle white background [color=white],4.083
acondicionador,assets/acondicionador.jpg,17407168,Vilvah Store,https://www.pexels.com/@yaazhini,https://www.pexels.com/photo/broccoli-and-bottle-of-conditioner-17407168/,"Eco-friendly conditioner bottle with broccoli, tucuma butter, and essential oil on a white background.",hair conditioner bottle white background [color=white],3.613
agua,assets/agua.jpg,31012803,Marcia Salido,https://www.pexels.com/@marcia-salido-346903577,https://www.pexels.com/photo/purely-sedona-water-bottles-on-white-background-31012803/,Studio shot of Purely Sedona water bottles in various sizes on a white background.,bottled water plastic bottle white background [color=white],4.7
arena_gato,assets/arena_gato.jpg,6086301,Eva Bronzini,https://www.pexels.com/@eva-bronzini,https://www.pexels.com/photo/close-up-shot-of-icing-sugar-6086301/,"Detailed close-up texture of granulated white sugar, ideal for food and culinary themes.",cat litter granules pellets [color=white],2.925
arroz,assets/arroz.jpg,13796760,Markus Winkler,https://www.pexels.com/@markus-winkler-1430818,https://www.pexels.com/photo/food-healthy-light-dinner-13796760/,"A minimalist shot of uncooked white rice in a bowl, isolated on white.",uncooked white rice grains in bowl [color=white],4.538
azucar,assets/azucar.jpg,5469035,Polina Tankilevitch,https://www.pexels.com/@polina-tankilevitch,https://www.pexels.com/photo/white-sugar-cubes-on-pink-background-5469035/,Scattered white sugar cubes on a pastel pink background perfect for food-related designs.,white sugar cubes in bowl,4.346
bolsas_basura,assets/bolsas_basura.jpg,9037602,Ron Lach,https://www.pexels.com/@ron-lach,https://www.pexels.com/photo/pieces-of-bottles-in-a-plastic-bag-9037602/,"A collection of plastic waste in a white bag, highlighting environmental issues.",roll of garbage bags plastic isolated [color=white],2.679
cafe,assets/cafe.jpg,13549432,Hai Pham,https://www.pexels.com/@haipham07,https://www.pexels.com/photo/a-pack-of-espresso-on-a-white-surface-13549432/,High-quality organic espresso beans showcased in elegant packaging on a clean background.,coffee beans package white background [color=white],3.342
carne_pollo,assets/carne_pollo.jpg,5769376,Leeloo The First,https://www.pexels.com/@leeloothefirst,https://www.pexels.com/photo/fresh-raw-chicken-meat-with-rosemary-toppings-on-white-surface-5769376/,Raw chicken breasts garnished with rosemary and garlic on a white surface.,raw chicken breast white background [color=white],2.41
carne_ternera,assets/carne_ternera.jpg,1314041,Fábio Bueno,https://www.pexels.com/@fabio-bueno-560364,https://www.pexels.com/photo/brown-wooden-chopping-board-with-meat-on-top-1314041/,"Top view of seasoned raw beef steak on wooden board with tongs, ready for cooking.",raw beef steak white background [color=white],0.993
