visual_group,search_term
aceite_oliva,olive oil bottle white background
acondicionador,hair conditioner bottle white background
agua,bottled water plastic bottle white background
arena_gato,cat litter granules pellets
arroz,uncooked white rice grains in bowl
azucar,white sugar cubes in bowl
bolsas_basura,roll of garbage bags plastic isolated
cafe,coffee beans package white background
carne_pollo,raw chicken breast white background
carne_ternera,raw beef steak white background
cava,sparkling wine bottle and glass
cereales,breakfast cereal box white background
cerveza,beer bottles isolated white background
champu,shampoo bottle isolated white background
chocolate,dark chocolate bar squares broken
comida_gato,cat food kibble bowl white background
comida_perro,dry dog food kibble pile
conservas_pescado,canned tuna tin white background
desodorante,deodorant spray can cosmetic product
detergente,laundry detergent bottle white background
embutido,sliced cured ham charcuterie white background
especias,spice jars isolated white background
fruta,fresh fruit assortment white background
galletas,biscuits cookies isolated white background
gel_ducha,body wash shower gel bathroom bottle
harina,flour bag baking white background
helados,ice cream tub isolated white background
higiene_femenina,menstrual pads tampons box product
huevos,eggs carton isolated white background
lavavajillas,dishwasher detergent tablets white background
leche,milk bottle isolated white background
leche_infantil,baby formula powder tin white background
legumbres,dried beans lentils white background
limpiadores_hogar,cleaning spray bottles white background
marisco,raw prawns shrimp white background
palomitas,popcorn bowl isolated white background
pan,loaf of bread isolated white background
panales,disposable diapers stack folded
papel_higienico,toilet paper rolls white background
pasta,dry spaghetti pasta white background
pasta_dientes,toothpaste tube white background
pescado_blanco,raw white fish fillet white background
pizza,frozen pizza isolated white background
potitos,jars of baby food puree row
precocinados,frozen ready meal package white background
protector_solar,sunscreen bottle isolated white background
queso,cheese wedge isolated white background
refrescos,aluminium soft drink cans stack
salsa_tomate,tomato sauce jar white background
snacks,potato chips snack bag white background
sopas,vegetable soup can tin label
suavizante,fabric softener blue bottle laundry care
toallitas,wet wipes tissue pack
torrijas,sweet pastry bun sugar white background
turron,nougat almond bar sweet white background
verdura,fresh vegetables isolated white background
verduras_congeladas,frozen peas vegetables white background
vino,red wine bottle isolated white background
yogur,greek yogurt bowl with spoon
zumos,orange juice bottle white background
